level,question,all_answers,dummy_pool,sentence,translation,exam_info
Fundamental (1-600),suggest,～を提案する、暗示する,"～を命令する, ～を拒否する, ～を隠す",What does the writer suggest in this text?,筆者は本文中で何を暗示していますか？,共通テスト
Fundamental (1-600),require,～を必要とする,"～を捨てる, ～を許す, ～を忘れる",The job requires a lot of experience.,その仕事には多くの経験が必要だ。,慶應義塾大
Fundamental (1-600),worry,心配する,"安心する, 怒る, 喜ぶ",Don't worry about small things.,小さなことを心配するな。,共通テスト
Fundamental (1-600),wonder,～かなと思う,"～を確信する, ～を恐れる, ～を認める",I wonder why she is so late.,なぜ彼女はあんなに遅れているのかな。,明治大
Fundamental (1-600),cost,（費用）がかかる,"（金）を稼ぐ, ～を支払う, ～を借りる",This computer cost a lot of money.,このコンピュータは多額の費用がかかった。,共通テスト
Fundamental (1-600),tend,～しがちである,"～を避ける, ～を止める, ～を決める",Young people tend to sleep late.,若者は夜更かししがちだ。,日本大
Fundamental (1-600),depend,～に依存する、次第だ,"～から独立する, ～を支配する, ～を助ける",Success depends on your effort.,成功は君の努力次第だ。,共通テスト
Fundamental (1-600),share,～を共有する,"～を独占する, ～を隠す, ～を壊す",Let's share the information.,情報を共有しよう。,関西大
Fundamental (1-600),demand,～を要求する,"～に応じる, ～を捨てる, ～を許す",They demanded higher wages.,彼らは賃上げを要求した。,共通テスト
Fundamental (1-600),support,～を支持する、養う,"～に反対する, ～を攻撃する, ～を疑う",I will support your plan.,私は君の計画を支持するよ。,学習院大
Fundamental (1-600),hire,～を雇う,"～を解雇する, ～を叱る, ～を訓練する",The company hired new staff.,その会社は新しいスタッフを雇った。,共通テスト
Fundamental (1-600),regard,～をみなす,"～を無視する, ～を嫌う, ～を忘れる",I regard him as a good friend.,私は彼を親友だと思っている。,京都大
Fundamental (1-600),base,～の基礎を置く,"～を壊す, ～を終わらせる, ～を隠す",This story is based on facts.,この物語は事実に基づいている。,共通テスト
Fundamental (1-600),improve,～を向上させる,"～を悪化させる, ～を止める, ～を壊す",I want to improve my English.,英語力を向上させたい。,大阪大
Fundamental (1-600),recognize,～を認める、識別する,"～を忘れる, ～を無視する, ～を疑う",I recognized her at once.,私はすぐに彼女だとわかった。,共通テスト
Fundamental (1-600),notice,～に気づく,"～を見逃す, ～を忘れる, ～を疑う",Did you notice the change?,変化に気づきましたか？,共通テスト
Fundamental (1-600),suppose,～と思う、仮定する,"～を知っている, ～を否定する, ～を隠す",What are we supposed to do?,私たちは何をすることになっているの？,明治大
Fundamental (1-600),raise,～を上げる、育てる,"～を下げる, ～を壊す, ～を捨てる",Please raise your hand.,手を挙げてください。,共通テスト
Fundamental (1-600),prefer,～を好む,"～を嫌う, ～を避ける, ～を忘れる",I prefer coffee to tea.,紅茶よりコーヒーが好きだ。,共通テスト
Fundamental (1-600),cheer,～を励ます,"～を悲しませる, ～を叱る, ～を黙らせる",We cheered for our team.,私たちはチームに声援を送った。,駒澤大
Fundamental (1-600),suffer,苦しむ,"楽しむ, 癒える, 避ける",Many people suffer from hunger.,多くの人が飢えに苦しんでいる。,共通テスト
Fundamental (1-600),describe,～を描写する、特徴を述べる,"～を隠す, ～を壊す, ～を忘れる",Please describe the man.,その男の特徴を述べてください。,東北大
Fundamental (1-600),prevent,～を妨げる、防ぐ,"～を助ける, ～を許す, ～を促す",Rain prevented us from going out.,雨のせいで外出できなかった。,共通テスト
Fundamental (1-600),reduce,～を減らす,"～を増やす, ～を広げる, ～を壊す",We must reduce waste.,私たちはゴミを減らさなければならない。,共通テスト
Fundamental (1-600),mistake,～を間違える,"～を理解する, ～に成功する, ～を覚える",Don't mistake him for his brother.,彼をお兄さんと間違えるな。,近畿大
Fundamental (1-600),prepare,～を準備する,"～を片付ける, ～を壊す, ～を忘れる",I must prepare for the exam.,試験の準備をしなければならない。,共通テスト
Fundamental (1-600),encourage,～を励ます,"～を妨げる, ～を叱る, ～を失望させる",My teacher encouraged me.,先生は私を励ましてくれた。,成城大
Fundamental (1-600),prove,～を証明する、～と判明する,"～を隠す, ～を疑う, 嘘をつく",The rumor proved to be true.,その噂は本当だと分かった。,共通テスト
Fundamental (1-600),treat,～を扱う、治療する,"～を無視する, ～を壊す, ～を捨てる",He treats everyone kindly.,彼は誰にでも親切に接する。,早稲田大
Fundamental (1-600),establish,～を設立する、確立する,"～を破壊する, ～を隠す, ～を忘れる",They established a new club.,彼らは新しいクラブを設立した。,東京大
Fundamental (1-600),relate,～を関連づける,"～を切り離す, ～を隠す, ～を壊す",How are the two events related?,2つの出来事はどう関連している？,共通テスト
Fundamental (1-600),compare,～を比較する,"～を同一視する, ～を無視する, ～を捨てる",compare the city with the country.,都市と田舎を比較する。,共通テスト
Fundamental (1-600),spread,～を広げる、広がる,"～を縮める, ～を隠す, ～を止める",The news spread quickly.,ニュースは素早く広まった。,共通テスト
Fundamental (1-600),refer,～を参照する、言及する,"～を無視する, ～を隠す, ～を忘れる",Please refer to the dictionary.,辞書を参照してください。,共通テスト
Fundamental (1-600),supply,～を供給する,"～を消費する, ～を奪う, ～を捨てる",They supply food to the city.,彼らは市に食料を供給している。,共通テスト
Fundamental (1-600),gain,～を得る、～を増す,"～を失う, ～を捨てる, ～を避ける",They hope to gain more experience.,彼らはより多くの経験を得たいと願っている。,共通テスト
Fundamental (1-600),destroy,～を破壊する,"～を造る, ～を保護する, ～を育てる",The fire destroyed the whole building.,火災で建物全体が破壊された。,慶應義塾大
Fundamental (1-600),apply,申し込む、～を適用する,"～を断る, ～を止める, ～を隠す",I want to apply for the scholarship.,私は奨学金に申し込みたい。,青山学院大
Fundamental (1-600),seek,～を求める、～を探す,"～を隠す, ～を捨てる, ～を破壊する",They seek a way to solve the problem.,彼らは問題解決の方法を求めている。,共通テスト
Fundamental (1-600),search,～を捜す、～を調べる,"～を見つける, ～を隠す, ～を破壊する",I searched the room for my keys.,私は鍵を求めて部屋を捜した。,共通テスト
Fundamental (1-600),claim,～と主張する、～を要求する,"～を認める, ～を隠す, ～を拒絶する",He claimed that he was innocent.,彼は自分が無実だと主張した。,中央大
Fundamental (1-600),draw,～を引く、～を描く,"～を押す, ～を消す, ～を投げる",She draws a picture of her cat.,彼女は猫の絵を描いている。,共通テスト
Fundamental (1-600),refuse,～を断る,"～を承諾する, ～を与える, ～を忘れる",She refused to answer the question.,彼女はその質問に答えるのを断った。,法政大
Fundamental (1-600),respond,反応する、答える,"～を無視する, ～から逃げる, ～を隠す",He didn't respond to my email.,彼は私のメールに返信しなかった。,共通テスト
Fundamental (1-600),mention,～に言及する、～と言う,"～を黙秘する, ～を隠す, ～を忘れる",Don't mention it to anyone.,誰にもそのことを言わないで。,早稲田大
Fundamental (1-600),judge,～を判断する,"～を疑う, ～を忘れる, ～を破壊する",Don't judge a book by its cover.,外見で人を判断してはいけない。,共通テスト
Fundamental (1-600),approach,～に近づく,"～から離れる, ～から逃げる, ～を止める",A car was approaching from behind.,車が後ろから近づいてきた。,共通テスト
Fundamental (1-600),admit,～を認める,"～を否定する, ～を隠す, ～を忘れる",He admitted that he was wrong.,彼は自分が間違っていたと認めた。,立教大
Fundamental (1-600),reflect,～を反映する、～を反射する,"～を吸収する, ～を破壊する, ～を隠す",The lake reflects the mountains.,湖が山々を映し出している。,東京大
Fundamental (1-600),perform,～を行う、～を遂行する,"～を中断する, ～を破壊する, ～を忘れる",Doctors performed a difficult operation.,医師たちは難しい手術を行った。,共通テスト
Fundamental (1-600),bore,～をうんざりさせる,"～を楽しませる, ～を驚かせる, ～を励ます",His long speech bored the audience.,彼の長い話は聴衆を退屈させた。,共通テスト
Fundamental (1-600),survive,生き残る、～を切り抜ける,"～で死ぬ, ～を滅ぼす, ～を忘れる",Only a few people survived the crash.,その墜落事故で数名だけが生き残った。,同志社大
Fundamental (1-600),represent,～を表す、～を代表する,"～を隠す, ～を破壊する, ～を無視する",What does this symbol represent?,この記号は何を表していますか？,共通テスト
Fundamental (1-600),argue,～と主張する、論じる,"～に同意する, ～を黙認する, ～を隠す",Scientists argue about the cause.,科学者たちは原因について議論している。,明治大
Fundamental (1-600),grant,～を認める、～を与える,"～を奪う, ～を拒否する, ～を隠す",My wish was finally granted.,私の願いはようやく聞き届けられた。,慶應義塾大
Fundamental (1-600),indicate,～を指し示す,"～を隠す, ～を破壊する, ～を忘れる",The report indicates a new trend.,報告書は新しい傾向を指し示している。,共通テスト
Fundamental (1-600),belong,所属している,"～から離れる, ～を捨てる, ～を破壊する",Does this bag belong to you?,このバッグはあなたのですか？,共通テスト
Fundamental (1-600),acquire,～を習得する、～を得る,"～を失う, ～を捨てる, ～を忘れる",It takes time to acquire a language.,言語を習得するには時間がかかる。,大阪大
Fundamental (1-600),reply,返事をする,"～を無視する, ～から逃げる, ～を隠す",I'll reply to your letter soon.,すぐにお手紙の返事を出します。,共通テスト
Fundamental (1-600),feed,～にエサをやる、～を養う,"～を飢えさせる, ～を奪う, ～を壊す",Don't feed the wild animals.,野生動物にエサをやってはいけない。,共通テスト
Fundamental (1-600),escape,逃げる,"捕まる, 留まる, 入る",The bird escapeed from the cage.,鳥がカゴから逃げた。,共通テスト
Fundamental (1-600),replace,～に取って代わる、～を取り替える,"～を破壊する, ～を維持する, ～を隠す",Machines will replace human labor.,機械が人間の労働に取って代わるだろう。,立命館大
Fundamental (1-600),reveal,～を明らかにする、～を見せる,"～を隠す, ～を偽る, ～を忘れる",The survey revealed a shocking fact.,調査は衝撃的な事実を明らかにした。,共通テスト
Fundamental (1-600),surround,～を取り囲む,"～から離れる, ～を破壊する, ～を隠す",The house is surrounded by trees.,その家は木々に囲まれている。,共通テスト
Fundamental (1-600),suit,～に似合う、～に適する,"～を損なう, ～を破壊する, ～を隠す",That blue dress suits you well.,あの青いドレスはあなたによく似合う。,共通テスト
Fundamental (1-600),estimate,～を見積もる、～と推定する,"～を無視する, ～を確定する, ～を破壊する","Experts estimate the cost at $1,000.",専門家は費用を1000ドルと見積もっている。,共通テスト
Fundamental (1-600),aim,狙う、～を目標とする,"～から逸らす, ～を諦める, ～を壊す",This program aims to help children.,このプログラムは子供を助けることを目的としている。,共通テスト
Fundamental (1-600),earn,～を稼ぐ、～を得る,"～を支払う, ～を失う, ～を捨てる",He earns a lot of money every month.,彼は毎月多額のお金を稼いでいる。,共通テスト
Fundamental (1-600),decline,衰退する、～を断る,"成長する, ～を承諾する, 増える",The number of children is declineing.,子供の数が減少している。,日本大
Fundamental (1-600),afford,～する余裕がある,"貧乏である, ～を破壊する, ～を捨てる",We can't afford to buy a house.,私たちには家を買う余裕がない。,共通テスト
Fundamental (1-600),confuse,～を混乱させる、～を混同する,"～を整理する, ～を助ける, ～を教える",The signs confused the tourists.,標識が観光客を混乱させた。,共通テスト
Fundamental (1-600),graduate,卒業する,"入学する, 退学する, 休む",I will graduate from high school.,私は高校を卒業する。,共通テスト
Fundamental (1-600),vary,変わる、様々である,"固定される, 止まる, 壊す",Prices vary from shop to shop.,価格は店によって様々だ。,共通テスト
Fundamental (1-600),remove,～を取り除く、～を脱ぐ,"～を置く, ～を付け加える, ～を隠す",Please remove your shoes here.,ここで靴を脱いでください。,共通テスト
Fundamental (1-600),insist,～と主張する、～を言い張る,"～を断念する, ～を黙認する, ～に同意する",He insisted on his innocence.,彼は自分の無実を主張した。,共通テスト
Fundamental (1-600),examine,～を調査する、～を診察する,"～を無視する, ～を破壊する, ～を忘れる",The doctor examined the patient.,医者は患者を診察した。,共通テスト
Fundamental (1-600),remind,～に思い出させる,"～を忘れさせる, ～を隠す, ～を破壊する",This song reminds me of my home.,この歌は私に故郷を思い出させる。,共通テスト
Fundamental (1-600),contribute,貢献する、～を寄付する,"～を妨げる, ～を奪う, ～を壊す",He contributed money to the charity.,彼はチャリティに寄付した。,上智大
Fundamental (1-600),warn,～に警告する,"～を励ます, ～を騙す, ～を忘れる",They warned us about the danger.,彼らは私たちに危険を警告した。,共通テスト
Fundamental (1-600),connect,～をつなぐ,"～を切り離す, ～を破壊する, ～を隠す",The bridge connects the two islands.,その橋は2つの島をつないでいる。,共通テスト
Fundamental (1-600),match,～に匹敵する、～と調和する,"～を損なう, ～を破壊する, ～を隠す",This tie doesn't match your shirt.,このネクタイはシャツに合っていない。,共通テスト
Fundamental (1-600),focus,焦点を合わせる、集中する,"～をそらす, ～を無視する, ～を破壊する",You should focus on your study.,勉強に集中すべきだ。,共通テスト
Fundamental (1-600),reject,～を拒絶する,"～を受け入れる, ～を認める, ～を助ける",The plan was rejected by the board.,その計画は委員会によって拒絶された。,早稲田大
Fundamental (1-600),convince,～を納得させる、～を確信させる,"～を疑わせる, ～を騙す, ～を忘れる",I am convinced of his success.,私は彼の成功を確信している。,共通テスト
Fundamental (1-600),associate,～を連想する、～を関連づける,"～を切り離す, ～を忘れる, ～を隠す",I associate summer with the sea.,私は夏といえば海を連想する。,共通テスト
Fundamental (1-600),rush,急いで行く、～を急がせる,"～を止める, ～を隠す, ～を破壊する",We had to rush to the airport.,私たちは空港へ急いで行かなければならなかった。,共通テスト
Fundamental (1-600),stress,～を強調する、～に重点を置く,"～を隠す, ～を忘れる, ～を軽視する",The teacher stressed the importance of health.,先生は健康の重要性を強調した。,慶應義塾大
Fundamental (1-600),attract,～を惹きつける、～を魅了する,"～を遠ざける, ～を捨てる, ～を攻撃する",The flower attracts many bees.,その花はたくさんの蜂を惹きつける。,共通テスト
Fundamental (1-600),rely,頼る、～を信頼する,"～を疑う, ～を避ける, ～を批判する",You can rely on his help.,彼の助けを当てにしてもいい（信頼していい）よ。,共通テスト
Fundamental (1-600),regret,～を後悔する、～を残念に思う,"～を喜ぶ, ～を忘れる, ～を期待する",I regret saying such a thing to her.,彼女にあんなことを言ったのを後悔している。,立教大
Fundamental (1-600),adopt,～を採用する、～を養子にする,"～を捨てる, ～を拒否する, ～を批判する",They decided to adopt a new system.,彼らは新しいシステムの採用を決めた。,共通テスト
Fundamental (1-600),shake,～を振る、揺れる,"～を止める, ～を固める, ～を支える",He shakes his head in disagreement.,彼は反対して首を横に振った。,共通テスト
Fundamental (1-600),hurt,～を傷つける、痛む,"～を癒やす, ～を助ける, ～を守る",My new shoes hurt my feet.,新しい靴のせいで足が痛い（傷ついている）。,共通テスト
Fundamental (1-600),operate,作動する、～を操作する、手術する,"～を止める, ～を破壊する, ～を放置する",How do you operate this machine?,この機械はどうやって操作するのですか？,共通テスト
Fundamental (1-600),extend,～を広げる、～を延長する,"～を縮める, ～を止める, ～を限定する",We need to extend the deadline.,締め切りを延長する必要がある。,共通テスト
Fundamental (1-600),blame,～を非難する、～のせいにする,"～を褒める, ～を許す, ～を助ける",Don't blame others for your mistakes.,自分のミスを他人のせいにするな。,早稲田大
Fundamental (1-600),consist,～で構成されている,"～を破壊する, ～から分離する, ～を隠す",The team consists of ten members.,そのチームは10人のメンバーで構成されている。,共通テスト
Fundamental (1-600),persuade,～を説得する,"～を騙す, ～を諦める, ～を脅かす",I persuaded him to join the club.,私は彼を説得してクラブに入らせた。,法政大
Fundamental (1-600),admire,～に感嘆する、～を賞賛する,"～を軽蔑する, ～を忘れる, ～を批判する",I admire your courage.,君の勇気には感服する（賞賛する）よ。,共通テスト
Fundamental (1-600),disappoint,～を失望させる,"～を喜ばせる, ～を助ける, ～を納得させる",The result disappointed his parents.,結果は彼の両親を失望させた。,共通テスト
Fundamental (1-600),expand,拡大する、～を膨張させる,"縮小する, 止まる, 壊れる",Our business is expanding rapidly.,我々のビジネスは急速に拡大している。,共通テスト
Fundamental (1-600),preserve,～を保護する、～を保存する,"～を破壊する, ～を捨てる, ～を汚染する",We must preserve the environment.,私たちは環境を保護しなければならない。,共通テスト
Fundamental (1-600),struggle,苦闘する、もがく,"楽しむ, 休む, 成功する",He struggled to solve the problem.,彼は問題解決のために苦闘した。,共通テスト
Fundamental (1-600),arrange,～を手配する、～を整える,"～を壊す, ～を散らかす, ～を無視する",I'll arrange a meeting for next week.,来週の会議を手配しておきます。,共通テスト
Fundamental (1-600),disturb,～を妨げる、～を不安にさせる,"～を助ける, ～を落ち着かせる, ～を励ます",Don't disturb me while I'm working.,仕事中に邪魔をしないでください。,共通テスト
Fundamental (1-600),employ,～を雇う、～を用いる,"～を解雇する, ～を捨てる, ～を批判する",The factory employs 500 workers.,その工場は500人の労働を雇っている。,共通テスト
Fundamental (1-600),engage,従事する、～を惹きつける,"～から離れる, ～を止める, ～を拒絶する",He is engaged in medical research.,彼は医学研究に従事している。,明治大
Fundamental (1-600),abandon,～を捨てる、～を放棄する,"～を守る, ～を拾う, ～を維持する",They had to abandon the sinking ship.,彼らは沈みゆく船を捨てなければならなかった。,共通テスト
Fundamental (1-600),display,～を展示する、～を表す,"～を隠す, ～を破壊する, ～を偽る",The museum displays old paintings.,美術館は古い絵画を展示している。,共通テスト
Fundamental (1-600),encounter,～に遭遇する,"～を避ける, ～を忘れる, ～を予期する",I encountered an old friend today.,今日、旧友に偶然遭遇した。,共通テスト
Fundamental (1-600),amuse,～を楽しませる,"～を退屈させる, ～を怒らせる, ～を疲れさせる",Her stories amused everyone.,彼女の話はみんなを楽しませた。,共通テスト
Fundamental (1-600),bother,～に面倒をかける、～を困らせる,"～を助ける, ～を喜ばせる, ～を無視する","Sorry to bother you, but can you help?",お忙しいところすみませんが、手伝ってくれますか？,共通テスト
Fundamental (1-600),concentrate,集中する,"～を逸らす, 休む, 忘れる",Please concentrate on your work.,仕事に集中してください。,共通テスト
Fundamental (1-600),adapt,～を適応させる、適応する,"～を拒む, ～を変える, ～を破壊する",We must adapt to the new environment.,私たちは新しい環境に適応しなければならない。,共通テスト
Fundamental (1-600),puzzle,～を困惑させる,"～を納得させる, ～を助ける, ～を喜ばせる",The difficult question puzzled me.,その難問は私を困惑させた。,共通テスト
Fundamental (1-600),appeal,訴える、～を惹きつける,"～を拒む, ～を無視する, ～を非難する",This book appeals to young readers.,この本は若い読者に受けている（惹きつけている）。,共通テスト
Fundamental (1-600),combine,～を組み合わせる,"～を切り離す, ～を破壊する, ～を分ける",You should combine theory with practice.,理論と実践を組み合わせるべきだ。,共通テスト
Fundamental (1-600),delay,～を遅らせる,"～を急がせる, ～を始める, ～を早める",The heavy snow delayed the flight.,大雪で飛行機が遅れた。,共通テスト
Fundamental (1-600),repair,～を修理する,"～を壊す, ～を捨てる, ～を汚す",Can you repair this broken toy?,この壊れたおもちゃを修理できますか？,共通テスト
Fundamental (1-600),fascinate,～を魅了する,"～を退屈させる, ～を嫌わせる, ～を怖がらせる",Space travel fascinates many children.,宇宙旅行は多くの子供たちを魅了する。,共通テスト
Fundamental (1-600),pardon,～を許す,"～を責める, ～を怒る, ～を罰する",Pardon me for being late.,遅れたことをお許しください。,共通テスト
Fundamental (1-600),import,～を輸入する,"～を輸出する, ～を捨てる, ～を製造する",Japan imports oil from many countries.,日本は多くの国から石油を輸入している。,共通テスト
Fundamental (1-600),remark,～と述べる、言う,"～を黙秘する, ～を隠す, ～を忘れる",He remarked that the food was good.,彼は食べ物が美味しいと述べた。,共通テスト
Fundamental (1-600),reserve,～を予約する、～を取っておく,"～を解約する, ～を捨てる, ～を公開する",I want to reserve a table for two.,2人用のテーブルを予約したい。,共通テスト
Fundamental (1-600),amaze,～を驚かせる,"～を納得させる, ～を退屈させる, ～を呆れさせる",The news amazed the whole world.,そのニュースは全世界を驚かせた。,共通テスト
Fundamental (1-600),frighten,～を怖がらせる,"～を安心させる, ～を喜ばせる, ～を励ます",The loud noise frightened the baby.,大きな音が赤ん坊を怖がらせた。,共通テスト
Fundamental (1-600),release,～を解放する、～を発売する,"～を捕まえる, ～を隠す, ～を拘束する",The movie was released last week.,その映画は先週公開（発売）された。,共通テスト
Fundamental (1-600),rent,～を賃借りする,"～を貸す, ～を売る, ～を所有する",We decided to rent an apartment.,私たちはアパートを借りることにした。,共通テスト
Fundamental (1-600),recover,回復する、～を取り戻す,"悪化する, ～を失う, 倒れる",He is recovering from a bad cold.,彼はひどい風邪から回復しつつある。,共通テスト
Fundamental (1-600),suspect,～ではないかと思う、～を疑う,"～を信じる, ～を忘れる, ～を確信する",I suspect that he is telling a lie.,彼は嘘をついているのではないかと思う。,共通テスト
Fundamental (1-600),deliver,～を配達する、～を渡す,"～を受け取る, ～を捨てる, ～を隠す",The postman delivers letters every day.,郵便屋さんは毎日手紙を配達する。,共通テスト
Fundamental (1-600),identify,～を特定する、～を確認する,"～を見逃す, ～を忘れる, ～を混同する",It was difficult to identify the owner.,持ち主を特定するのは難しかった。,共通テスト
Fundamental (1-600),locate,～の場所を突き止める,"～を見失う, ～を捨てる, ～を隠す",They tried to locate the lost child.,彼らは迷子の場所を突き止めようとした。,共通テスト
Fundamental (1-600),manufacture,～を製造する,"～を破壊する, ～を捨てる, ～を修理する",This company manufactures car parts.,この会社は車の部品を製造している。,共通テスト
Fundamental (1-600),occupy,～を占める、～を占領する,"～を開放する, ～を捨てる, ～を去る",Reading occupys most of his time.,読書が彼の時間の大部分を占めている。,共通テスト
Fundamental (1-600),own,～を所有している,"～を借りている, ～を失う, ～を売る",He owns several expensive cars.,彼は数台の高級車を所有している。,共通テスト
Fundamental (1-600),expose,～をさらす,"～を隠す, ～を保護する, ～を固定する",Don't expose your skin to the sun.,肌を日光にさらしてはいけない。,慶應義塾大
Fundamental (1-600),translate,～を翻訳する,"～を複写する, ～を出版する, ～を隠す",I'll translate this letter into Japanese.,この手紙を日本語に翻訳しましょう。,共通テスト
Fundamental (1-600),cure,～を治療する,"～を悪化させる, ～を傷つける, ～を放置する",This medicine will cure your cold.,この薬は君の風邪を治してくれるだろう。,日本大
Fundamental (1-600),perceive,～に気づく,"～を無視する, ～を忘れる, ～を誤解する",We perceive the world through our senses.,私たちは五感を通して世界を知覚する。,名古屋大
Fundamental (1-600),adjust,～を調節する,"～を壊す, ～を無視する, ～を汚す",You should adjust the volume.,音量を調節すべきだ。,共通テスト
Fundamental (1-600),alarm,～を驚かせる,"～を喜ばせる, ～を静める, ～を助ける",The news alarmed the whole nation.,そのニュースは国民全体を驚かせた。,共通テスト
Fundamental (1-600),assist,～を助ける,"～を妨げる, ～を攻撃する, ～を叱る",My son assisted me in the kitchen.,息子は台所で私を手伝ってくれた。,共通テスト
Fundamental (1-600),freeze,凍る,"溶ける, 燃える, 蒸発する",The lake freezes in winter.,その湖は冬には凍る。,共通テスト
Fundamental (1-600),spoil,～を台無しにする,"～を完成させる, ～を守る, ～を育てる",The rain spoiled our picnic.,雨のせいでピクニックが台無しになった。,共通テスト
Fundamental (1-600),shift,～を変える、移る,"～を維持する, ～を止める, ～を隠す",He shifted his weight to the left.,彼は体重を左に移した。,共通テスト
Fundamental (1-600),embarrass,～を困惑させる,"～を喜ばせる, ～を褒める, ～を助ける",His question embarrassed her.,彼の質問は彼女を困惑させた。,共通テスト
Fundamental (1-600),approve,～を承認する,"～を拒否する, ～を疑う, ～を叱る",My father didn't approve of my plan.,父は私の計画を承認しなかった。,法政大
Fundamental (1-600),weigh,～の重さがある,"～を数える, ～を測る, ～を失う",How much do you weigh?,体重はどれくらいありますか？,共通テスト
Fundamental (1-600),stretch,～を広げる,"～を縮める, ～を壊す, ～を止める",She stretched her arms out.,彼女は両腕を広げた。,共通テスト
Fundamental (1-600),participate,参加する,"～を避ける, ～を止める, ～を隠す",He decided to participate in the race.,彼はレースに参加することに決めた。,共通テスト
Fundamental (1-600),exhibit,～を展示する,"～を隠す, ～を壊す, ～を忘れる",They exhibited new works of art.,彼らは新しい芸術作品を展示した。,共通テスト
Fundamental (1-600),owe,～に借金がある,"～を貸している, ～を稼ぐ, ～を支払う",I owe him ten dollars.,私は彼に10ドルの借りがある。,共通テスト
Fundamental (1-600),celebrate,～を祝う,"～を嘆く, ～を忘れる, ～を壊す",We celebrated his birthday.,私たちは彼の誕生日を祝った。,共通テスト
Fundamental (1-600),decorate,～を装飾する,"～を汚す, ～を壊す, ～を隠す",We decorated the room with flowers.,私たちは花で部屋を飾った。,共通テスト
Fundamental (1-600),forgive,～を許す,"～を責める, ～を罰する, ～を叱る",Please forgive me for being late.,遅れたことを許してください。,共通テスト
Fundamental (1-600),seat,～を座らせる,"～を立たせる, ～を歩かせる, ～を運ぶ",Please be seated.,お座りください。,共通テスト
Fundamental (1-600),injure,～を傷つける,"～を治す, ～を守る, ～を助ける",He injured his leg in the game.,彼は試合で足を負傷した。,共通テスト
Fundamental (1-600),sew,～を縫う,"～を切る, ～を洗う, ～を捨てる",She is sewing a new dress.,彼女は新しいドレスを縫っている。,共通テスト
Fundamental (1-600),result,結果として生じる,"～を止める, ～を隠す, ～を壊す",The accident resulted from a mistake.,その事故はミスから生じた。,共通テスト
Fundamental (1-600),feature,～を特徴とする,"～を隠す, ～を壊す, ～を無視する",This phone features a great camera.,この電話は優れたカメラを特徴としている。,共通テスト
Fundamental (1-600),society,社会,"個人, 家族, 秘密",We live in a modern society.,私たちは現代社会に住んでいる。,共通テスト
Fundamental (1-600),wheel,車輪,"翼, 窓, 扉",One of the wheels came off.,車輪の一つが外れた。,共通テスト
Fundamental (1-600),value,価値,"損害, 費用, 欠点",Education is of great value.,教育は大きな価値がある。,共通テスト
Fundamental (1-600),effect,効果、影響,"原因, 理由, 失敗",The medicine had a quick effect.,その薬はすぐに効果があった。,共通テスト
Fundamental (1-600),individual,個人,"社会, 集団, 家族",Respect the rights of the individual.,個人の権利を尊重しなさい。,共通テスト
Fundamental (1-600),influence,影響,"無視, 妨害, 停止",He has a strong influence on me.,彼は私に強い影響を与えている。,共通テスト
