question,answer,chapter,explanation
第4周期の遷移元素の原子では、最外殻電子の数は1または2個である。,〇,1 共通テストの過去問,第4周期の遷移元素（3〜11族）は内側のd軌道に電子が充填されていくため、最外殻（N殻）の電子数は基本的に2個（クロムや銅などは1個）になります。
遷移元素の錯イオンの配位数は、4のみである。,×,1 共通テストの過去問,遷移元素が形成する錯イオンの配位数は、2、4、6など多様です（例：$[Fe(CN)_6]^{3-}$ の配位数は 6 です）。
二糖は、2分子の単糖が脱水縮合した化合物であり、この反応でできた結合をグリコシド結合という。,〇,1 共通テストの過去問,単糖のヘミアセタール構造に由来するヒドロキシ基が、他の糖のヒドロキシ基と脱水縮合してできる結合をグリコシド結合と呼びます。
マルトース $C_{12}H_{22}O_{11}$ は麦芽糖ともよばれ、デンプンをアミラーゼで加水分解すると生じる。,〇,1 共通テストの過去問,デンプンに唾液や麦芽に含まれるアミラーゼを作用させると、マルトース（麦芽糖）まで分解されます。
甘味料や化粧品の保湿成分として用いられているトレハロース $C_{12}H_{22}O_{11}$ は、2分子の単糖が還元性を示す部分どうしで脱水縮合しているため、銀鏡反応を示さない。,〇,1 共通テストの過去問,トレハロースは2分子の $\alpha$-グルコースが還元性を示す1位の炭素（アノマー炭素）どうしで結合しているため、環が開かず、還元性（銀鏡反応）を示しません。
アミロースは、ヨウ素ヨウ化カリウム水溶液(ヨウ素溶液)により青~濃青色を示す。これは多数の $\beta$-グルコースで構成されたらせん構造の中に $I_2$ や $I_3^-$ などが取り込まれるためである。,×,1 共通テストの過去問,アミロースを構成しているのは $\beta$-グルコースではなく、$\alpha$-グルコースです。$\alpha$-グルコースが多数直鎖状に結合することでらせん構造を作ります。
もち米のデンプンは、ほぼ100%アミロペクチンでできている。,〇,1 共通テストの過去問,うるち米のデンプンはアミロース約20%・アミロペクチン約80%ですが、もち米のデンプンはほぼ100%が枝分かれの多いアミロペクチンで構成されています。
クロムは、空気中で酸化被膜をつくり不動態となるので、鉄さび防止のため、めっきに用いられる。,〇,1 共通テストの過去問,クロムは緻密な酸化被膜（不動態）を形成して内部が保護されるため、耐食性に優れ、めっきに多用されます。
ステンレス鋼は鉄を主成分とする合金であり、クロムを含む。,〇,1 共通テストの過去問,ステンレス鋼は、鉄にクロム（およびニッケルなど）を加えることでさびにくくした合金です。
クロム酸イオン $CrO_4^{2-}$ を含む水溶液に塩基を加えるとニクロム酸イオン $Cr_2O_7^{2-}$ を生じ、酸性にすると再び $CrO_4^{2-}$ に戻る。,×,1 共通テストの過去問,黄色いクロム酸イオン $CrO_4^{2-}$ の水溶液を「酸性」にすると赤橙色のニクロム酸イオン $Cr_2O_7^{2-}$ に変化し、「塩基性（アルカリ性）」にすると再びクロム酸イオンに戻ります（記述の酸・塩基が逆です）。
水溶液中でクロム酸イオンは鉛(II) イオンと反応し、クロム酸鉛(II) $PbCrO_4$ の黄色沈殿を生じる。,〇,1 共通テストの過去問,鉛(II)イオン $Pb^{2+}$ を含む水溶液にクロム酸イオンを加えると、黄色いクロム酸鉛(II) $PbCrO_4$ の沈殿が生じます。
$Si$ の結晶はダイヤモンドと同じく正四面体構造をもつ共有結合の結晶である。,〇,1 共通テストの過去問,ケイ素（Si）は14族元素であり、炭素の同素体であるダイヤモンドと同様に、正四面体構造が立体的に連なった共有結合結晶を作ります。
アモルファスシリコンでは、$Si$ 原子が不規則に配列している。,〇,1 共通テストの過去問,結晶のような規則正しい原子配列を持たない無定形（非晶質）の状態をアモルファスと呼びます。
高純度の $Si$ の表面に生じる絶縁体である $SiO_2$ は、十分な量の高純度のフッ化水素酸(HF 水溶液)を用いて溶解することにより、$H_2SiF_6$ として除くことができる。,〇,1 共通テストの過去問,二酸化ケイ素 $SiO_2$ はフッ化水素酸に反応し、ヘキサフルオロケイ酸 $H_2SiF_6$ となって溶解します。
通信用海底ケーブルの光ファイバーには、繊維状に加工した高純度の $Si$ が用いられている。,×,1 共通テストの過去問,光ファイバーの原料に用いられるのはケイ素単体（Si）ではなく、高純度で極めて透明度の高い「二酸化ケイ素（$SiO_2$：石英ガラス）」です。
理想気体とみなせる、互いに反応しない気体AとBがある。温度と圧力が同一のAとBを体積比1:2で混合すると、AとBの分圧の比は1:2となる。,〇,1 共通テストの過去問,分圧の比は、物質量（モル）の比および混合前の同温・同圧における体積比に等しくなるため、分圧の比は1:2となります。
温度一定で同じ物質量の実在気体と理想気体を比較したとき、十分に圧力を高くすると、分子自身の体積が無視できなくなるため、実在気体の体積が理想気体の体積より大きくなる現象が見られる。,〇,1 共通テストの過去問,高圧下では気体分子自体の体積が無視できなくなり、実在気体の体積は理想気体の理論上の体積よりも大きくなります。
圧力一定で同じ物質量の実在気体と理想気体を比較したとき、十分に温度が高くなると、分子間力の影響が大きくなるため、実在気体の体積は理想気体の体積から大きく遠ざかる。,×,1 共通テストの過去問,温度が十分に高くなると、熱運動が激しくなり分子間力の影響が相対的に小さくなるため、実在気体は理想気体の挙動に近づきます。
親水コロイド溶液に多量の電解質を加えたときに沈殿が生じる現象を塩析という。,〇,1 共通テストの過去問,親水コロイドは水和水を取り除くために多量の電解質を加える必要があり、この現象を「塩析」と呼びます。
分散媒が液体で分散質も液体のコロイドを懸濁液（サスペンション）という。,×,1 共通テストの過去問,分散媒が液体で分散質も液体のコロイドは「乳濁液（エマルション）」と呼びます。懸濁液（サスペンション）は、分散媒が液体で分散質が固体のコロイドです。
コロイド粒子が電荷を帯びていれば、コロイド溶液に直流電圧をかけると、コロイド粒子は自身が帯電している電荷とは反対符号の電極側に移動する。,〇,1 共通テストの過去問,帯電したコロイド粒子が反対符号の電極へ移動する現象を「電気泳動」と呼びます。
水に分散したコロイド粒子が不規則に運動するのは、分散媒である水分子がコロイド粒子に不規則に衝突するためである。,〇,1 共通テストの過去問,この不規則な運動は「ブラウン運動」であり、熱運動する溶媒分子（水分子）の衝突によって起こります。
コロイド溶液に強い光線を当てると光の通路が明るく見えるのは、コロイド粒子が光を散乱するためである。,〇,1 共通テストの過去問,この現象は「チンダル現象」と呼ばれ、コロイド粒子が光を散乱することによって生じます。
科学捜査において血痕を検出するルミノール反応による発光は、化学発光（ケミカルルミネセンス）の一種である。,〇,1 共通テストの過去問,ルミノールがアルカリ性下で酸化される際の化学反応に伴って光を放つため、化学発光の代表例です。
ブレスレット（腕輪）型のケミカルライトが光る現象は、化学発光（ケミカルルミネセンス）によるものである。,〇,1 共通テストの過去問,ケミカルライトは、内部の複数の物質が混ざり合って起こる化学反応のエネルギーによって発光します。
ネオンサイン（ネオン管）が光る現象は、管内のネオンガスを化学反応させることによって得られる化学発光である。,×,1 共通テストの過去問,ネオンサインの発光は、高電圧による「放電（電気エネルギーによる励起）」によるものであり、化学発光（化学反応に伴う発光）ではありません。
生物である蛍（ホタル）が体内から放つ光は、化学発光（バイオルミネセンスを含む化学反応による発光）である。,〇,1 共通テストの過去問,ホタルの発光は、ルシフェリンがルシフェラーゼという酵素の触媒作用によって酸化される化学反応に伴う発光（生物化学発光）です。
遷移元素の化合物について、硫酸銅(II) CuSO4 水溶液に水酸化ナトリウム NaOH 水溶液を加えると沈殿が生じる。,〇,1 共通テストの過去問,水酸化銅(II) Cu(OH)2 の青白色沈殿（または塩基性塩の沈殿）が生じます。
鉄(III)イオン Fe3+ を含む水溶液にヘキサシアニド鉄(III)酸カリウム K3[Fe(CN)6] 水溶液を加えると青白色沈殿が生じる。,×,1 共通テストの過去問,Fe3+ を含む水溶液に K3[Fe(CN)6]（ヘキサシアニド鉄(III)酸カリウム）を加えた場合は、沈殿は生じず、暗褐色（または赤褐色）の溶液になります。なお、青白〜白色沈殿が生じるのは Fe2+ に K4[Fe(CN)6] を加えたときなどです。
過マンガン酸カリウム KMnO4 は、塩基性水溶液中で酸化剤としてはたらくと、酸化マンガン(IV) MnO2 になる。,〇,1 共通テストの過去問,酸性条件下では Mn2+ に還元されますが、中性・塩基性条件下では MnO2（黒褐色沈殿）に還元されます。
酸化銀 Ag2O に過剰のアンモニア水を加えると、錯イオンを生じて溶解する。,〇,1 共通テストの過去問,過剰のアンモニア水により、ジアンミン銀(I)イオン [Ag(NH3)2]+ という無色の錯イオンをつくって溶けます。
二酸化ケイ素 SiO2 の粉末に水酸化ナトリウム NaOH の粉末を混ぜて高温で反応させると、ケイ酸ナトリウム Na2SiO3 が生成する。,〇,1 共通テストの過去問,酸性酸化物である SiO2 は、強塩基である NaOH と高温（融解）で反応し、ケイ酸ナトリウムと水を生じます。
ケイ酸ナトリウム Na2SiO3 におけるケイ素 Si の酸化数は +4 である。,〇,1 共通テストの過去問,ナトリウムが +1（×2）、酸素が -2（×3）であるため、Si の酸化数は +4 となります。
水ガラス（ケイ酸ナトリウムに水を加えて加熱した粘性の大きな液体）を乾燥させたものをシリカゲルとよぶ。,×,1 共通テストの過去問,水ガラスに酸（塩酸など）を加えて得られるケイ酸を加熱・乾燥（脱水）させた多孔質の物質を「シリカゲル」と呼びます。水ガラスを単に乾燥させただけではシリカゲルにはなりません。
水ガラスに塩酸を加えるとケイ酸が生成する。,〇,1 共通テストの過去問,弱酸の塩であるケイ酸ナトリウムに強酸である塩酸を加えると、弱酸の遊離反応が起こり、白色ゲル状のケイ酸が沈殿します。
濃硝酸に銅を反応させて得られる気体（二酸化窒素 NO2）を水に通じると、酸性の水溶液が生じる。,〇,1 共通テストの過去問,NO2 は水と反応して硝酸 HNO3（酸性）を生じます。
希硝酸に銅を反応させて得られる気体（一酸化窒素 NO）は、空気より重いため下方置換で捕集する。,×,1 共通テストの過去問,一酸化窒素 NO は空気（平均分子量約29）と分子量が近く（NO=30）、かつ空気中の酸素と速やかに反応して赤褐色の NO2 に変化するため、水に溶けにくい性質を利用して「水上置換」で捕集します。
フッ化カルシウム CaF2 に濃硫酸を加えて加熱したときに発生する気体（フッ化水素 HF）の水溶液（フッ化水素酸）の保存には、ポリエチレン製の容器を用いる。,〇,1 共通テストの過去問,フッ化水素酸はガラス（主成分 SiO2）を侵して溶かす性質があるため、ガラス容器ではなくポリエチレン（またはフッ素樹脂）製の容器に保存します。
酸素 O2 中で無声放電を行うことで発生する気体（オゾン O3）の検出には、湿ったヨウ化カリウムデンプン紙を利用することができる。,〇,1 共通テストの過去問,オゾンは強い酸化作用を持つため、ヨウ化カリウムを酸化してヨウ素 I2 を遊離させ、デンプンを青紫色に呈色させます。
ヨウ化ナトリウム NaI 水溶液に希硫酸と過酸化水素 H2O2 の水溶液を加える反応において、過酸化水素 H2O2 は酸化剤としてはたらく。,〇,1 共通テストの過去問,過酸化水素はヨウ化物イオン I- をヨウ素 I2 へと酸化する「酸化剤」として作用します（自身は H2O に還元される）。
ヨウ化ナトリウム NaI 水溶液に希硫酸と過酸化水素を加えた反応後の混合物にヘキサンを加えると、生成したヨウ素 I2 はヘキサン層に抽出される。,〇,1 共通テストの過去問,ヨウ素 I2 は無極性分子であり、水よりも有機溶媒であるヘキサン（無極性溶媒）によく溶けるため、ヘキサン層へと抽出されます。
ヨウ化ナトリウム NaI 水溶液からヨウ素 I2 を遊離させる際、過酸化水素 H2O2 の代わりに塩化スズ(II) SnCl2 を用いることでもヨウ素を生成させることができる。,×,1 共通テストの過去問,ヨウ化物イオン I- からヨウ素 I2 を得るには「酸化剤」が必要です。塩化スズ(II) SnCl2 は強い「還元剤」であるため、I- を酸化して I2 にすることはできません。
ヨウ化ナトリウム NaI 水溶液に塩素 Cl2 を吹きこむと、ヨウ素 I2 を生成させることができる。,〇,1 共通テストの過去問,ハロゲンの単体の酸化力は Cl2 ＞ I2 であるため、より酸化力の強い塩素によって I- が酸化され、ヨウ素 I2 が遊離します。
"エチレングリコール（1,2-エタンジオール）に金属ナトリウムを加えると、水素が発生する。",〇,1 共通テストの過去問,エチレングリコールはアルコール（ヒドロキシ基を2個持つ）であり、ナトリウムと反応してナトリウムアルコキシドを形成し、水素 H2 を発生します。
希薄なフェノールの水溶液に少量の炭酸水素ナトリウム水溶液を加えると、二酸化炭素が発生する。,×,1 共通テストの過去問,酸の強さは「炭酸 ＞ フェノール」です。フェノールは炭酸よりも弱い酸（極めて弱い酸）であるため、炭酸水素ナトリウム（炭酸の塩）と反応して二酸化炭素を遊離させることはできません。
エタノールの分子間で脱水反応（約130〜140℃での分子間脱水）を行うことにより、ジエチルエーテルが生成する。,〇,1 共通テストの過去問,エタノールに濃硫酸を加えて約130〜140℃で加熱すると、2分子のエタノールから1分子の水が取れてジエチルエーテルが生成します。
アセトンにヨウ素と水酸化ナトリウム水溶液を加えて加熱すると、黄色沈殿であるヨードホルムが生成する。,〇,1 共通テストの過去問,アセトンは CH3-CO- の構造（アセチル基）を持っているため、ヨードホルム反応を示し、特異臭のある黄色沈殿（CHI3）を生じます。
無水酢酸とフェノールを反応させると、エステル化が起こり酢酸フェニルが生成する。,〇,1 共通テストの過去問,フェノールのヒドロキシ基が無水酢酸によってアセチル化され、エステルである酢酸フェニル（と酢酸）が生成します。
タンパク質のポリペプチド鎖は、ペプチド結合の（C=O）と（N-H）の間にできる水素結合により、α-ヘリックスやβ-シートなどの二次構造をつくる。,〇,1 共通テストの過去問,ポリペプチド鎖のペプチド結合間における規則的な水素結合によって、特有の二次構造が形成されます。
アミノ酸は、固体（結晶中）では電荷を持たない分子構造（中性分子）として存在している。,×,1 共通テストの過去問,アミノ酸は、結晶中（固体状態）や水溶液中（等電点付近）において、分子内で H+ が移動した「双性イオン（ゾルターイオン）」の状態で存在しています。
グルコース分子は、水溶液中では2種類の環状構造（α-型、β-型）と1種類の鎖状構造（アルデヒド型）の合計3種類が平衡状態で存在する。,〇,1 共通テストの過去問,水溶液中のグルコースは、環状のα-グルコース、開環した鎖状構造、環状のβ-グルコースの3つの状態が互いに移り変わる平衡状態にあります。
フルクトースは、グルコースの立体異性体である。,×,1 共通テストの過去問,フルクトース（ケトヘキソース）とグルコース（アルドヘキソース）は、炭素骨格や官能基の位置が異なる「構造異性体」です。
アセチレンは、炭化カルシウム（カルシウムカーバイド）に水を加えることで発生する。,〇,1 共通テストの過去問,CaC2 + 2H2O → Ca(OH)2 + C2H2 の反応により、容易にアセチレンが発生します。
アセチレンに酸素を十分に供給して完全燃焼させて得られる「酸素アセチレン炎」は、金属の切断や溶接に用いられるほど高温になる。,〇,1 共通テストの過去問,アセチレンの燃焼熱は非常に大きく、純酸素とともに燃焼させると3000℃を超える極めて高温の炎が得られます。
アセチレンに水を付加（硫酸水銀(II)を触媒とする）させると、ビニルアルコールを経て、直ちにアセトアルデヒドが生成する。,〇,1 共通テストの過去問,水が付加して生じるビニルアルコールは極めて不安定なため、速やかに構造異性体であるアセトアルデヒドへと変化（ケト・エノール互変異性）します。
アセチレンにシアン化水素 HCN を付加させると、アクリル繊維（ポリアクリロニトリル）の原料モノマーであるアクリロニトリルが得られる。,〇,1 共通テストの過去問,アセチレンへの HCN 付加反応により、CH2=CH-CN（アクリロニトリル）が生成します。
アセチレンが重合したポリアセチレンは、三重結合と単結合が交互に炭素原子をつないだ高分子である。,×,1 共通テストの過去問,ポリアセチレンは、アセチレン分子（HC≡CH）の三重結合のうち1本の結合が開いて付加重合するため、主鎖は「二重結合と単結合」が交互に並んだ共役二重結合の構造をとります。
アンモニウムイオン（NH4+）は、配位結合を含んでできたイオンである。,〇,1 共通テストの過去問,アンモニウムイオンは、アンモニアに水素イオンが配位結合することで形成されます。
オキソニウムイオン（H3O+）は、配位結合を含んでできたイオンである。,〇,1 共通テストの過去問,オキソニウムイオンは、水分子に水素イオンが配位結合することで形成されます。
ジアンミン銀(I)イオン（[Ag(NH3)2]+）は、配位結合を含んでできたイオンである。,〇,1 共通テストの過去問,金属イオンに配位子が結合した錯イオンであり、配位結合を含んでいます。
ギ酸イオン（HCOO-）は、配位結合を含んでできたイオンである。,×,1 共通テストの過去問,ギ酸イオンを構成する結合は共有結合とイオン結合であり、配位結合は含まれません。
グルコースは、ろ紙を通過することができる。,〇,1 共通テストの過去問,グルコースは水に溶解して真溶液となるため、ろ紙の目を通り抜けることができます。
グルコースは、セロハンの膜を通過することができる。,〇,1 共通テストの過去問,グルコースは分子の大きさが小さいため、半透膜であるセロハン膜を通過できます。
砂は、ろ紙を通過することができる。,×,1 共通テストの過去問,砂の粒子は粗大であるため、ろ紙を通過できずに残ります。
トリプシン（水中で分子コロイドになる物質）は、ろ紙を通過することができる。,〇,1 共通テストの過去問,コロイド粒子はろ紙の目よりも小さいため、ろ紙を通過することができます。
トリプシン（水中で分子コロイドになる物質）は、セロハンの膜を通過することができる。,×,1 共通テストの過去問,コロイド粒子はセロハン膜（半透膜）の穴よりも大きいため、膜を通過できません。
二酸化炭素と水素の可逆反応（正反応は吸熱）が平衡状態にあるとき、圧力を一定に保ったまま温度を下げることで、一酸化炭素の物質量を増やすことができる。,×,1 共通テストの過去問,正反応が吸熱反応であるため、温度を下げるとルシャトリエの原理により発熱方向（左）へ平衡が移動し、一酸化炭素は減少します。
二酸化炭素と水素の可逆反応が平衡状態にあるとき、温度を一定に保ったまま容器内の圧力を上げることで、一酸化炭素の物質量を増やすことができる。,×,1 共通テストの過去問,反応の前後で気体の総分子数が変わらないため（両辺とも2分子）、圧力を変化させても平衡は移動しません。
二酸化炭素と水素の可逆反応が平衡状態にあるとき、温度と圧力を一定に保ったまま水素を加えることで、一酸化炭素の物質量を増やすことができる。,〇,1 共通テストの過去問,反応物である水素を加えると、それを減少させる方向（右）へ平衡が移動するため、一酸化炭素の物質量が増加します。
二酸化炭素と水素の可逆反応が平衡状態にあるとき、温度と圧力を一定に保ったままアルゴンを加えることで、一酸化炭素の物質量を増やすことができる。,×,1 共通テストの過去問,温度と全圧が一定の状態でアルゴンを加えると容器の体積が増大し各気体の分圧は下がりますが、両辺の分子数が等しいため平衡は移動しません。
ナトリウムは空気中の酸素や水と激しく反応するため、エタノール中に保存する。,×,1 共通テストの過去問,ナトリウムはエタノールとも反応して水素を発生するため、エタノールではなく灯油（石油）中に保存します。
水酸化ナトリウム水溶液を誤って皮膚に付着させたときは、ただちに多量の水でよく洗う。,〇,1 共通テストの過去問,強塩基が皮膚に付着した際は、速やかに多量の流水で洗い流す必要があります。
濃硫酸から希硫酸をつくるときは、危険を防ぐために濃硫酸へ少しずつ水を加える。,×,1 共通テストの過去問,多量の水に濃硫酸を少しずつ加えるのが正密です。水に濃硫酸を加えると、急激な溶解熱により水が沸騰して硫酸が飛び散る危険があります。
濃硝酸は光によって分解しやすい性質があるため、光を遮る褐色びんに入れて保存する。,〇,1 共通テストの過去問,濃硝酸は光や熱で分解して二酸化窒素を生じるため、褐色びんに入れて冷暗所に保存します。
硫化水素は有毒な気体であるため、実験室で扱う際はドラフト内で取り扱う。,〇,1 共通テストの過去問,硫化水素は急性毒性を持つ気体であるため、排気装置のあるドラフト室内で扱う必要があります。
アスタチン（At）の単体の融点と沸点は、ともにハロゲン単体の中で最も高いと推定される。,〇,1 共通テストの過去問,ハロゲン単体は原子番号が大きくなる（分子量が大きくなる）ほど分子間力が強くなり、融点・沸点が高くなります。
アスタチンの単体は、常温で水に溶けにくいと推定される。,〇,1 共通テストの過去問,他のハロゲン単体（塩素、臭素、ヨウ素など）と同様に無極性分子としての性質が強く、水には溶けにくいです。
硝酸銀水溶液をアスタチン化ナトリウム水溶液に加えると、難溶性のアスタチン化銀を生じると推定される。,〇,1 共通テストの過去問,塩化銀、臭化銀、ヨウ素化銀と同様に、アスタチン化銀も水に難溶性の塩を形成します。
臭素水をアスタチン化ナトリウム水溶液に加えても、酸化還元反応は起こらないと推定される。,×,1 共通テストの過去問,ハロゲン単体の酸化力は原子番号が小さいほど強いため（Br2 ＞ At2）、臭素によってアスタチン化物イオンが酸化され、単体のアスタチンが遊離する反応が起こります。
デンプンの成分の一つであるアミロペクチンは、冷水に溶けやすい。,×,1 共通テストの過去問,アミロペクチンは枝分かれ構造を持つ高分子であり、冷水には溶けず、熱水にも溶けにくい性質を持ちます。
アクリル繊維は、アクリロニトリルが付加重合した高分子を主成分とする合成繊維である。,〇,1 共通テストの過去問,アクリル繊維は、アクリロニトリルを主とするモノマーが結合してできた合成繊維です。
生ゴムに数％の硫黄粉末を加えて加熱すると、硫黄原子による架橋構造が生じ、弾性や強度が向上する。,〇,1 共通テストの過去問,この操作は「加硫」と呼ばれ、網目状の架橋構造ができることで弾性や耐久性が大きく向上します。
レーヨンは、セルロースを適切な溶媒に溶解させた後、繊維として再生させた再生繊維である。,〇,1 共通テストの過去問,木材パルプなどのセルロースを一度溶かし、再び繊維状に固めて析出させたものです。
糖類などに見られるグリコシド結合は、希硫酸とともに加熱することにより加水分解される。,〇,1 共通テストの過去問,酸触媒の働きによってグリコシド結合が切断され、単糖類へと分解されます。
ヤナギの樹皮成分であるサリシンを溶かした水溶液は、銀鏡反応を示す。,×,1 共通テストの過去問,サリシンは還元性を示すヘミアセタール構造がグリコシド結合によって固定されているため、還元性を示さず銀鏡反応も起こりません。
サリチル酸は、ナトリウムフェノキシドと二酸化炭素を高温・高圧で反応させた後、酸性にすることにより得られる。,〇,1 共通テストの過去問,この合成法は「コルベ・シュミット反応」と呼ばれ、工業的なサリチル酸の製造に用いられます。
サリチル酸とメタノールを反応させて得られるエステル（サリチル酸メチル）は、消炎鎮痛剤として用いられる。,〇,1 共通テストの過去問,サリチル酸メチルは特有の芳香を持つ液体で、湿布薬などの消炎鎮痛剤として広く利用されています。
