一般的な光学顕微鏡の分解能は約何μmか。,0.2μm,１ 生物の共通性と多様性,可視光の波長による制限があり、これより小さいものは見えません。
1mmの1000分の1の長さを表す単位（10のマイナス6乗メートル）は何か。,μm（マイクロメートル）,１ 生物の共通性と多様性,細胞の大きさを表すのに最も一般的な単位です。
植物細胞の細胞壁を構成する主な多糖類は何か。,セルロース,１ 生物の共通性と多様性,繊維状の物質で、植物細胞に物理的な強度を与えます。
細胞小器官の間を埋めている、流動性のある液状の成分を何というか。,細胞質基質（シトソル）,１ 生物の共通性と多様性,水やタンパク質を含み、化学反応（代謝）の場となります。
生きた細胞内のミトコンドリアを特異的に染めるために用いられる染色液は何か。,ヤヌスグリーン,１ 生物の共通性と多様性,酸化還元反応を利用し、生きた状態のミトコンドリアを染めます。
ヤヌスグリーンで染まったミトコンドリアは何色に見えるか。,青緑色,１ 生物の共通性と多様性,酸化状態では青緑、還元状態では無色になります。
ヒトの口腔上皮細胞の大きさ（直径）の目安はどの程度か。,約50〜100μm,１ 生物の共通性と多様性,動物細胞の中では大型で、光学顕微鏡で観察しやすいサイズです。
植物細胞の細胞壁が持つ、物理的な主な役割は何か。,細胞の形を維持し、膨圧に耐える,１ 生物の共通性と多様性,吸水による破裂を防ぎ、植物体の直立を支える「外壁」の役割です。
ヒトの肉眼の分解能（2点を見分けられる限界）は約何mmか。,約0.1〜0.2mm,１ 生物の共通性と多様性,100〜200μmに相当します。髪の毛の太さや、ゾウリムシがギリギリ見えるレベルです。
電子顕微鏡の分解能は約何nmか。,約0.1〜0.2nm,１ 生物の共通性と多様性,光よりも波長の短い「電子線」を用いるため、光学顕微鏡の約1000倍の細かさで見ることができます。
電子顕微鏡でしか観察できない、細胞内の微細な構造や分子は何か（例）。,ウイルス、タンパク質、細胞膜の断面,１ 生物の共通性と多様性,これらは光学顕微鏡の限界（0.2μm）より小さいため、電子顕微鏡が必要になります。
1665年に自作の顕微鏡でコルクの切片を観察し、細胞を発見した人物は誰か。,ロバート・フック,１ 生物の共通性と多様性,著書『ミクログラフィア』で、微細な構造を詳しくスケッチして発表しました。
ロバート・フックがコルクの中に見た小さな部屋を、何と名付けたか。,細胞（セル / cell）,１ 生物の共通性と多様性,修道院の「小部屋」を意味する言葉が由来ですが、彼が見ていたのは実は「細胞壁」の跡でした。
ロバート・フックが観察したコルクの細胞は、生きた細胞か、死んだ細胞か。,死んだ細胞,１ 生物の共通性と多様性,コルクガシの樹皮の死細胞を観察していたため、核や細胞質は見えていませんでした。
ロバート・フックが細胞のスケッチなどを掲載した、当時のベストセラー図鑑の名称は？,ミクログラフィア,１ 生物の共通性と多様性,当時の科学界に衝撃を与え、顕微鏡観察ブームを巻き起こしました。
核（核膜に包まれた核）を持たない細胞からなる生物を何というか。,原核生物,１ 生物の共通性と多様性,DNAは細胞質基質の中にむき出しの状態で存在しています。
核を持ち、細胞小器官が発達した細胞からなる生物を何というか。,真核生物,１ 生物の共通性と多様性,菌類、植物、動物などはすべて真核生物に分類されます。
原核生物のうち、大腸菌や乳酸菌、ユレモなどのグループを何というか。,細菌（バクテリア）,１ 生物の共通性と多様性,地球上のあらゆる場所に生息し、多様な代謝を行います。
植物の葉緑体などに含まれる、光エネルギーを吸収する緑色の色素は何か。,クロロフィル（葉緑素）,１ 生物の共通性と多様性,光合成において、光を化学エネルギーへ変換する重要な役割を担います。
光合成を行う原核生物であるシアノバクテリア（ユレモなど）に、葉緑体は存在するか。,存在しない,１ 生物の共通性と多様性,原核生物なので葉緑体はありませんが、細胞膜にクロロフィルを持っています。
真核生物の細胞の大きさは、原核生物と比べて一般的にどうか。,非常に大きい,１ 生物の共通性と多様性,真核細胞は原核細胞の10倍〜100倍程度のサイズであることが多いです。
大腸菌や乳酸菌のように、核を持たない原核細胞からなる生物の総称を何というか。,細菌類（バクテリア）,１ 生物の共通性と多様性,単細胞生物であり、分裂によって爆発的に増殖します。
細菌類の中で、クロロフィルを持ち、光合成を行うグループを何というか。,シアノバクテリア,１ 生物の共通性と多様性,ユレモやネンジュモが代表例です。酸素を放出する光合成を最初に行った生物と言われています。
細菌類の細胞の外側にある、細胞膜をさらに保護する硬い構造を何というか。,細胞壁,１ 生物の共通性と多様性,植物のセルロースとは異なり、ペプチドグリカンという物質が主成分です。
細菌類の細胞内にあり、タンパク質合成の場となる構造体は何か。,リボソーム,１ 生物の共通性と多様性,原核生物である細菌も、生きるために必要なタンパク質を作るリボソームは持っています。
細菌のDNAはどのような形状で細胞質内に存在しているか。,環状（わっか状）,１ 生物の共通性と多様性,ヒト（真核生物）の線状DNAとは異なり、一本の環状DNAとして存在します。
自作の高性能な単レンズ顕微鏡を用い、世界で初めて「生きた細胞」を観察した人物は誰か。,レーウェンフック,１ 生物の共通性と多様性,驚異的なレンズ研磨技術を持ち、当時の複式顕微鏡を凌ぐ解像度を実現していました。
レーウェンフックが観察した対象として、ロバート・フック（コルク）と決定的に違う点は何か。,生きた状態の観察,１ 生物の共通性と多様性,細菌、原生生物、血液の流れなど、生命の「動的な活動」を初めて記録しました。
レーウェンフックの顕微鏡について、レンズの枚数を答えよ。,1枚（単レンズ）,１ 生物の共通性と多様性,非常に小さな球状のレンズ1枚を板に挟んだシンプルな構造でしたが、最大で200〜300倍の倍率がありました。
ATPを構成する3つの物質は、アデニン、リン酸とあと一つは何か。,リボース,２ 生物のエネルギー,糖の一種（五炭糖）で、アデニンと結合してアデノシンを形成します。
塩基のアデニンと糖のリボースが結合した部分を何というか。,アデノシン,２ 生物のエネルギー,アデノシンにリン酸が3つ結合したものがATP（アデノシン三リン酸）です。
ATP内のリン酸同士の結合を何というか。,高エネルギーリン酸結合,２ 生物のエネルギー,この結合が切れてリン酸が離れるときに、多量のエネルギーが放出されます。
ATPからリン酸が1つ外れて、エネルギーを放出した後の物質を何というか。,ADP（アデノシン二リン酸）,２ 生物のエネルギー,Dは「Di（2つ）」、Tは「Tri（3つ）」を意味します。
生体内で、単純な物質から複雑な物質を合成し、エネルギーを蓄える過程を何というか。,同化,２ 生物のエネルギー,代表例は光合成です。光エネルギーを有機物の化学エネルギーに変換して蓄えます。
複雑な物質を分解してエネルギーを取り出し、単純な物質にする過程を何というか。,異化,２ 生物のエネルギー,代表例は呼吸です。有機物を分解して生活に必要なエネルギー（ATP）を得ます。
細胞内で酸素を用いて有機物を分解し、取り出したエネルギーでATPを合成する過程は？,呼吸（細胞呼吸）,２ 生物のエネルギー,主にミトコンドリアで行われ、二酸化炭素と水が排出されます。
光エネルギーを利用して、二酸化炭素と水から有機物（炭水化物など）を合成する過程は？,光合成,２ 生物のエネルギー,葉緑体で行われ、副産物として酸素が放出されます。
生体内で行われる、物質の合成や分解などの化学反応全体を何というか。,代謝,２ 生物のエネルギー,同化と異化を合わせた概念で、常に酵素が関与しています。
それ自身は変化せず、化学反応を促進させる物質を何というか。,触媒,２ 生物のエネルギー,反応に必要な活性化エネルギーを下げる働きをします。
タンパク質を主成分とし、生体内で触媒として働く物質を何というか。,酵素（生体触媒）,２ 生物のエネルギー,温和な条件（体温付近・中性など）で効率よく働きます。
唾液に含まれ、デンプンを麦芽糖（マルトース）に分解する酵素は何か。,アミラーゼ,２ 生物のエネルギー,特定の物質のみに働く「基質特異性」の代表例です。
脂肪を脂肪酸とモノグリセリドに分解する酵素は何か。,リパーゼ,２ 生物のエネルギー,主に膵液に含まれ、脂質の消化を担います。
過酸化水素の分解を促進する「無機触媒」の代表例は何か。,二酸化マンガン（酸化マンガン(IV)）,２ 生物のエネルギー,酵素ではないため、加熱してもその触媒能力は失われません。
過酸化水素を水と酸素に分解する「生体内の酵素」は何か。,カタラーゼ,２ 生物のエネルギー,肝臓の切片などに多く含まれ、非常に強力な分解能力を持ちます。
酵素が特定の物質（基質）のみに働きかける性質を何というか。,基質特異性,２ 生物のエネルギー,酵素の「活性部位」と基質の立体構造が、鍵と鍵穴のように一致することで反応が進みます。
生体内でのエネルギーの受け渡しを仲介することから、ATPは何と呼ばれるか。,エネルギーの通貨,２ 生物のエネルギー,全ての生物が共通して利用できる、エネルギーの共通規格であることを意味します。
真核生物において、光合成が行われる場所（細胞小器官）はどこか。,葉緑体,２ 生物のエネルギー,二重膜構造を持ち、内部にチラコイドやストロマという反応の場があります。
葉緑体に含まれる、光エネルギーを吸収する色素の総称は何か。,光合成色素（クロロフィルなど）,２ 生物のエネルギー,クロロフィルの他に、補助的に働くカロテノイドなども含まれます。
光合成の反応において、放出される酸素（$O_{2}$）の由来となる物質は何か。,水（$H_{2}O$）,２ 生物のエネルギー,水が光エネルギーによって分解（光分解）されることで、酸素が発生します。
1953年にDNAの二重らせん構造のモデルを提唱した2人の人物は誰か。,ワトソンとクリック,３ 遺伝情報とDNA,ウィルキンスやロザリンド・フランクリンのX線回折データをもとに構造を解明しました。
DNAを構成する基本単位（リン酸・糖・塩基が結合したもの）を何というか。,ヌクレオチド,３ 遺伝情報とDNA,DNAはこのヌクレオチドが無数に繋がった「ヌクレオチド鎖」でできています。
成長や組織の再生のために、元の細胞と同じ染色体数を持つ娘細胞を作る分裂を何というか。,体細胞分裂,３ 遺伝情報とDNA,分裂前にはDNAが2倍に複製され、各娘細胞へ均等に分配されます。
体細胞分裂において、染色体が細胞の中央（赤道面）に並ぶ時期は何期か。,中期,３ 遺伝情報とDNA,染色体の形が最も観察しやすく、数を数えるのに適した時期です。
体細胞分裂の各期のうち、DNAの複製が行われる時期（間期の一部）を何というか。,S期（合成期）,３ 遺伝情報とDNA,分裂期（M期）に入る前に、設計図を2部作成する「コピー工程」です。
体細胞において、形や大きさが同じで対になっている1対の染色体を何というか。,相同染色体,３ 遺伝情報とDNA,父親と母親から1本ずつ受け継いだもので、ヒトでは23対（46本）存在します。
体細胞分裂の中期において、染色体が並ぶ細胞の中央部分の面を何というか。,赤道面,３ 遺伝情報とDNA,ここに並ぶことで、後の後期に染色体が両極へ均等に引き離される準備が整います。
分裂期（M期）以外の、DNA複製や細胞の成長が行われる期間を何というか。,間期,３ 遺伝情報とDNA,細胞周期の約90%以上を占める長い期間で、G1期、S期、G2期に分けられます。
相同染色体のうち、男女で共通の形・数を持つ染色体（1〜22番目）を何というか。,常染色体,３ 遺伝情報とDNA,性決定に関わる「性染色体」以外の染色体のことです。
体細胞分裂の後期において、各染色体は（ ）によって両極へ引きずられていく。,紡錘糸（ぼうすいし）,３ 遺伝情報とDNA,中心体（またはその周辺）から伸びる微小管の束で、染色体を物理的に移動させます。
体細胞において、形や大きさが同じで対になっている1対の染色体を何というか。,相同染色体,３ 遺伝情報とDNA,父親と母親から1本ずつ受け継いだもので、ヒトでは23対（46本）存在します。
体細胞分裂の中期において、染色体が並ぶ細胞の中央部分の面を何というか。,赤道面,３ 遺伝情報とDNA,ここに並ぶことで、後の後期に染色体が両極へ均等に引き離される準備が整います。
分裂期（M期）以外の、DNA複製や細胞の成長が行われる期間を何というか。,間期,３ 遺伝情報とDNA,細胞周期の約90%以上を占める長い期間で、G1期、S期、G2期に分けられます。
相同染色体のうち、男女で共通の形・数を持つ染色体（1〜22番目）を何というか。,常染色体,３ 遺伝情報とDNA,性決定に関わる「性染色体」以外の染色体のことです。
体細胞分裂の後期において、各染色体は（ ）によって両極へ引きずられていく。,紡錘糸（ぼうすいし）,３ 遺伝情報とDNA,中心体（またはその周辺）から伸びる微小管の束で、染色体を物理的に移動させます。
糖、リン酸、塩基が結合した、DNAの基本単位を何というか。,ヌクレオチド,３ 遺伝情報とDNA,これが多数重合して、ポリヌクレオチド鎖を形成します。
DNAのヌクレオチドに含まれる「糖」の名称は何か。,デオキシリボース,３ 遺伝情報とDNA,5個の炭素を含む糖（五炭糖）の一種です。
2本のヌクレオチド鎖がねじれて並んだ、DNA特有の立体構造を何というか。,二重らせん構造,３ 遺伝情報とDNA,ワトソンとクリックによって提唱されたモデルです。
エンドウの交配実験を行い、遺伝の規則性（分離の法則など）を初めて発見した人物は誰か。,メンデル,３ 遺伝情報とDNA,当時はまだ「遺伝子」や「DNA」という実体は知られていませんでした。
モルガンが遺伝の研究に用い、唾液腺染色体の観察などでも有名なモデル生物は何か。,キイロショウジョウバエ,３ 遺伝情報とDNA,世代交代が早く、飼育が容易なため遺伝学の発展に大きく貢献しました。
DNAの塩基配列の一部を、mRNA（伝令RNA）に写し取る過程を何というか。,転写,３ 遺伝情報とDNA,核内で行われ、DNAの二重らせんの一部がほどけてRNAが合成されます。
DNAの塩基「A」に対して、RNAが転写される際に結合する塩基は何か。,ウラシル（U）,３ 遺伝情報とDNA,RNAにはチミン（T）がなく、代わりにウラシル（U）が使われます。
mRNAのコドンに対応するアミノ酸を運んでくる、別のRNAを何というか。,tRNA（転移RNA）,３ 遺伝情報とDNA,自身の「アンチコドン」とmRNAの「コドン」が結合することで正確に運搬します。
DNAに含まれる全遺伝情報のセット（全ての塩基配列）を何というか。,ゲノム,３ 遺伝情報とDNA,「遺伝子(gene)」と「染色体全体(chromosome)」を合わせた造語です。
ヒトのゲノムのうち、実際にタンパク質をコードしている遺伝子領域は約何％か。,約1.5％（1〜2％）,３ 遺伝情報とDNA,意外にも、ゲノムの大部分はタンパク質の設計図ではない「非コード領域」です。
真核生物において、転写が行われる場所と、翻訳が行われる場所はそれぞれどこか。,転写：核内、翻訳：細胞質（リボソーム）,３ 遺伝情報とDNA,核膜があるため、情報伝達の場所が物理的に分かれているのが真核生物の特徴です。
1958年、DNAの複製が「半保存的複製」であることを証明した2人の人物は誰か。,メセルソンとスタール,３ 遺伝情報とDNA,窒素の同位体（$^{14}N$と$^{15}N$）を用いて、新旧のDNA鎖を区別しました。
メセルソンらの実験で、重いDNAと軽いDNAを分離するために用いられた手法は何か。,密度勾配遠心法,３ 遺伝情報とDNA,塩化セシウム溶液を高速回転させ、密度のわずかな違いで層を分ける手法です。
$^{15}N$のDNAを$^{14}N$培地で「2回」複製させたとき、中間の密度と軽い密度のDNAの比はどうなるか。,1：1,３ 遺伝情報とDNA,中間の密度が2本、軽い密度が2本（計4本）生じるため、比率は 1:1 になります。
DNAの複製時、元の2本鎖がほどけ、それぞれを鋳型として新しい鎖が作られる方式を何というか。,半保存的複製,３ 遺伝情報とDNA,元の鎖（親鎖）が1本ずつ各娘細胞に「保存」されるため、こう呼ばれます。
ユスリカやキイロショウジョウバエの幼虫の巨大染色体に見られる、膨らんだ部分を何というか。,パフ,４ 遺伝情報とタンパク質合成,ここではDNAがほぐれ、転写（mRNAの合成）が活発に行われています。
タンパク質の設計図として、DNAから塩基配列を写し取る役割を持つRNAは何か。,mRNA（伝令RNA）,４ 遺伝情報とタンパク質合成,核から細胞質のリボソームへ情報を運びます。
mRNAのコドンに対応するアミノ酸をリボソームまで運搬する役割を持つRNAは何か。,tRNA（転移RNA）,４ 遺伝情報とタンパク質合成,アンチコドンを持ち、正確なアミノ酸を配置します。
タンパク質合成の場である「リボソーム」を構成する主なRNAは何か。,rRNA（リボソームRNA）,４ 遺伝情報とタンパク質合成,リボソームはrRNAとタンパク質の複合体です。
DNAの塩基配列をmRNAに写し取る過程を何というか。,転写,４ 遺伝情報とタンパク質合成,DNAの二重らせんがほどけ、一方の鎖を鋳型にしてRNAが合成されます。
mRNAの塩基配列に基づき、アミノ酸を繋げてタンパク質を作る過程を何というか。,翻訳,４ 遺伝情報とタンパク質合成,核から出たmRNAがリボソームと結合し、特定の配列をアミノ酸へ変換します。
mRNAの塩基3つの並び（1つのアミノ酸を指定する単位）を何というか。,コドン,４ 遺伝情報とタンパク質合成,4種類の塩基の3文字の組み合わせ（64通り）で、20種類のアミノ酸を表現します。
DNA→RNA→タンパク質という、遺伝情報の一方向の流れを何というか。,セントラルドグマ,４ 遺伝情報とタンパク質合成,1958年にクリックが提唱した、現代生物学の最も根本的な原則です。
mRNAの翻訳が開始される合図となる塩基配列（AUG）を何というか。,開始コドン,４ 遺伝情報とタンパク質合成,メチオニンというアミノ酸を指定し、ここからタンパク質合成が始まります。
翻訳を終了させる合図となり、対応するアミノ酸が存在しないコドンを何というか。,終止コドン,４ 遺伝情報とタンパク質合成,UAA、UAG、UGAの3種類があり、タンパク質合成をストップさせます。
ユスリカやキイロショウジョウバエの幼虫に見られる、通常の100倍以上大きな染色体は何か。,唾液腺染色体（巨大染色体）,４ 遺伝情報とタンパク質合成,DNAの複製が分離せずに繰り返されることで巨大化し、縞模様が観察できます。
タンパク質の基本単位であり、ヒトの体内で20種類存在する物質は何か。,アミノ酸,４ 遺伝情報とタンパク質合成,アミノ基とカルボキシ基を持ち、配列順序によってタンパク質の性質が決まります。
DNAの糖はデオキシリボースですが、RNAの糖は何という物質か。,リボース,４ 遺伝情報とタンパク質合成,RNA（リボ核酸）の名称の由来となっている五炭糖です。
RNAを構成する4種類の塩基をすべて答えよ。,アデニン、ウラシル、グアニン、シトシン,４ 遺伝情報とタンパク質合成,DNAのチミン(T)の代わりにウラシル(U)が使われるのが最大の特徴です。
血液、組織液、リンパ液など、細胞を取り巻く液体の総称を何というか。,体液（内部環境）,５ 情報の伝達とホルモン,外界が変化しても、この体液の組成は一定に保たれます（恒常性）。
血液中の赤血球に含まれる、酸素を運搬する鉄を含むタンパク質は何か。,ヘモグロビン,５ 情報の伝達とホルモン,酸素濃度が高い場所で酸素と結合し、低い場所で解離する性質があります。
細胞膜に存在し、ナトリウムイオンなどの特定のイオンを通過させるタンパク質を何というか。,イオンチャネル（イオンチャネル型受容体）,５ 情報の伝達とホルモン,神経の興奮（電気信号の発生）において決定的な役割を果たします。
体液中に最も多く含まれる陽イオンで、体液の浸透圧維持に重要なものは何か。,ナトリウムイオン ($Na^{+}$),５ 情報の伝達とホルモン,細胞外液に多く、神経や筋肉の活動、水分の調整に不可欠です。
組織液の一部が毛細リンパ管に流れ込んだもので、免疫に関わる液体は何か。,リンパ液,５ 情報の伝達とホルモン,リンパ節を経由して異物を除去し、最終的に鎖骨下静脈で血液に合流します。
意思とは無関係に、内臓や血管の働きを調節する神経系を何というか。,自律神経系,５ 情報の伝達とホルモン,交感神経と副交感神経の2種類があり、多くの器官に対して拮抗的に働きます。
驚きや恐怖、運動時などの活動的な時に優位になり、心拍数を増加させる神経は？,交感神経,５ 情報の伝達とホルモン,脊髄（胸腰髄）から出ており、「闘争か逃走か」の準備を整えます。
食後や休息時などのリラックスした時に優位になり、消化管の働きを促進する神経は？,副交感神経,５ 情報の伝達とホルモン,中脳、延髄、仙髄から出ており、エネルギーの蓄積や修復を促します。
間脳の視床下部の下に位置し、多くのホルモン分泌の中枢となっている器官は何か。,脳下垂体,５ 情報の伝達とホルモン,前葉と後葉に分かれ、他の内分泌腺の働きをコントロールする指示を出します。
周囲の環境が変化しても、体内の状態を一定の範囲内に保とうとする性質を何というか。,恒常性（ホメオスタシス）,５ 情報の伝達とホルモン,自律神経系、内分泌系（ホルモン）、免疫系の3つが連携して維持しています。
脳下垂体後葉から分泌され、腎臓での水の再吸収を促進するホルモンは何か。,バソプレシン,５ 情報の伝達とホルモン,尿量を減少させ、血液の浸透圧（濃度）を下げる働きがあります。
組織液が毛細リンパ管に回収された液体で、鎖骨下静脈で血液と合流するものは何か。,リンパ液,５ 情報の伝達とホルモン,脂肪の輸送や、リンパ節での免疫反応（検問）を担います。
反応の結果が前の段階に遡って作用し、調節される仕組みを何というか。,フィードバック,５ 情報の伝達とホルモン,多くの場合、結果が原因を抑える「負のフィードバック」が働き、恒常性を維持します。
バソプレシンが作用する、腎臓内の具体的な部位はどこか。,集合管,５ 情報の伝達とホルモン,集合管での水の再吸収量を増やすことで、体外へ出る水分を節約します。
体液の浸透圧や温度の変化を感知し、バソプレシンの分泌命令を出す脳の部位はどこか。,視床下部,５ 情報の伝達とホルモン,間脳にあり、自律神経系と内分泌系の総合司令塔として機能します。
すい臓にある、ホルモンを分泌する細胞の集まり（内分泌部）を何というか。,ランゲルハンス島,５ 情報の伝達とホルモン,発見者の名にちなんでおり、A細胞（α細胞）とB細胞（β細胞）があります。
ランゲルハンス島B細胞（β細胞）から分泌され、血糖値を下げるホルモンは何か。,インスリン,５ 情報の伝達とホルモン,生体内で血糖値を下げる唯一のホルモンであり、細胞へのグルコース取り込みを促します。
ランゲルハンス島A細胞（α細胞）から分泌され、血糖値を上げるホルモンは何か。,グルカゴン,５ 情報の伝達とホルモン,肝臓に貯えられたグリコーゲンを分解してグルコースに変え、血液中に放出させます。
のど仏の下に位置し、代謝を促進するホルモン「チロキシン」を分泌する器官はどこか。,甲状腺,５ 情報の伝達とホルモン,脳下垂体前葉からの刺激（TSH）を受けてチロキシンを分泌します。
甲状腺ホルモンに含まれ、海藻などに多く含まれる必須の元素は何か。,ヨウ素（ヨード）,５ 情報の伝達とホルモン,ヨウ素が不足すると、甲状腺が腫れたりチロキシンの合成ができなくなったりします。
ホルモンが作用する特定の器官のことを何というか。,標的器官,５ 情報の伝達とホルモン,その器官の細胞に、特定のホルモンと結合する「受容体（レセプター）」があるため反応できます。
副腎皮質から分泌され、タンパク質からの糖の合成を促進して血糖値を上げるホルモンは？,糖質コルチコイド,５ 情報の伝達とホルモン,脳下垂体前葉からの刺激を受けて分泌され、長期的なストレスへの対抗などに働きます。
血液凝固の際、血漿中に溶けているタンパク質（フィブリノゲン）が変化してできる繊維状の物質は何か。,フィブリン,５ 情報の伝達とホルモン,網目状に広がり、血球を絡め取って血ぺい（かさぶたの元）を作ります。
フィブリンの原料となる、血漿中に含まれる水溶性のタンパク質は何か。,フィブリノゲン,５ 情報の伝達とホルモン,血管が傷つくと、トロンビンという酵素の働きによってフィブリンへと変化します。
フィブリンの網に赤血球などの血球が絡まって固まったものを何というか。,血ぺい,５ 情報の伝達とホルモン,血管の修復が終わるまで、傷口を物理的に塞ぐ役割を果たします。
副腎皮質から分泌され、腎臓でのナトリウムイオンの再吸収を促進するホルモンは？,鉱質コルチコイド（アルドステロン）,５ 情報の伝達とホルモン,体液中の塩分濃度と血圧を調節する重要な役割を持ちます。
鉱質コルチコイドが作用し、ナトリウムイオンの再吸収が行われる腎臓の部位はどこか。,細尿管（腎細管）,５ 情報の伝達とホルモン,集合管の手前にある細尿管に働きかけ、ナトリウムを血液中に戻します。
副腎の周囲を包む層で、ステロイドホルモン（糖質・鉱質など）を分泌する部位はどこか。,副腎皮質,５ 情報の伝達とホルモン,脳下垂体前葉からの刺激（副腎皮質刺激ホルモン）によって調節されます。
副腎の中心部にあり、交感神経の刺激を受けてアドレナリンを分泌する部位はどこか。,副腎髄質,５ 情報の伝達とホルモン,皮質（外側）と髄質（内側）では、分泌されるホルモンも調節経路も異なります。
小腸などの消化管と肝臓を結び、吸収した栄養分を運ぶ血管を何というか。,肝門脈（門脈）,５ 情報の伝達とホルモン,動脈血ではなく、酸素を消費した後の静脈血が流れています。
肝門脈を流れる血液において、食後に一時的に急上昇する成分は何か。,グルコース（血糖）,５ 情報の伝達とホルモン,小腸で吸収された糖が直接肝臓へ運ばれるため、一時的に濃度が高くなります。
肝門脈を通って運ばれたグルコースは、肝臓で何という物質に変えて貯蔵されるか。,グリコーゲン,５ 情報の伝達とホルモン,インスリンの働きにより、多糖類であるグリコーゲンとして蓄えられます。
肝臓から心臓（下大静脈）へ向かう、処理済みの血液が流れる血管は何か。,肝静脈,５ 情報の伝達とホルモン,肝門脈と肝動脈が合流し、肝小葉を通った後の出口となる血管です。
糸球体とボーマンのうを合わせた名称を何というか。,腎小体（マルピーギ小体）,６ 体内環境の維持,腎臓の皮質に存在し、血液を濾過して原尿を作る場所です。
腎小体で濾過された液（原尿）を受け止める、袋状の構造を何というか。,ボーマンのう,６ 体内環境の維持,糸球体から押し出された血漿成分（タンパク質以外）を包み込みます。
腎小体と細尿管（腎細管）を合わせた、腎臓の構造上の単位を何というか。,ネフロン（腎単位）,６ 体内環境の維持,ヒトの片方の腎臓に約100万個存在します。
ボーマンのうに続く細い管で、必要な成分を再吸収する場所はどこか。,細尿管（腎細管）,６ 体内環境の維持,グルコースや水、無機塩類などを再び血液中に戻します。
腎臓で生成され、輸尿管を通って膀胱に蓄えられる液体は何か。,尿,６ 体内環境の維持,原尿から有用成分が再吸収され、老廃物が濃縮された液体です。
脂肪が分解されて生じる物質で、肝臓で糖（グルコース）に変換されるものは何か。,グリセロール,６ 体内環境の維持,脂肪は脂肪酸とこれに分解され、糖新生の材料になります。
腎臓で全く再吸収されず、ろ過量の計算（濃縮率の測定）に用いられる多糖類は？,イヌリン,６ 体内環境の維持,植物が作る糖で、ヒトは分解・再吸収できないため腎機能測定に最適です。
イヌリンのように「尿中の濃度 ÷ 血漿中の濃度」で求められる値を何というか。,濃縮率,６ 体内環境の維持,この値が大きいほど、その物質は水に比べて強く濃縮されていることを示します。
赤血球のヘモグロビンが分解されて生じる、胆汁に含まれる黄色い色素は何か。,ビリルビン,６ 体内環境の維持,肝臓で処理され、胆汁として十二指腸へ排出されます。
